enrolled,query,label
109_4.tif,109_6.tif,1
110_3.tif,110_5.tif,1
103_3.tif,103_4.tif,1
104_8.tif,105_4.tif,0
104_1.tif,110_4.tif,0
106_8.tif,104_8.tif,0
105_3.tif,105_6.tif,1
102_5.tif,104_4.tif,0
103_1.tif,109_6.tif,0
107_6.tif,102_6.tif,0
107_1.tif,107_5.tif,1
110_7.tif,107_4.tif,0
104_6.tif,104_7.tif,1
105_1.tif,105_8.tif,1
105_6.tif,107_2.tif,0
101_1.tif,101_4.tif,1
109_7.tif,108_1.tif,0
109_3.tif,102_3.tif,0
105_2.tif,105_3.tif,1
104_5.tif,101_1.tif,0
105_2.tif,105_6.tif,1
105_3.tif,105_5.tif,1
109_6.tif,110_8.tif,0
109_3.tif,109_5.tif,1
110_3.tif,106_2.tif,0
104_3.tif,104_4.tif,1
101_5.tif,101_6.tif,1
108_5.tif,107_4.tif,0
103_2.tif,103_8.tif,1
102_5.tif,102_7.tif,1
106_5.tif,106_6.tif,1
103_3.tif,108_1.tif,0
105_2.tif,107_3.tif,0
110_3.tif,110_4.tif,1
107_3.tif,107_7.tif,1
105_5.tif,108_4.tif,0
109_2.tif,109_6.tif,1
110_1.tif,110_3.tif,1
103_3.tif,103_6.tif,1
110_7.tif,104_8.tif,0
107_2.tif,107_5.tif,1
110_2.tif,110_7.tif,1
107_6.tif,109_5.tif,0
101_2.tif,101_3.tif,1
101_7.tif,101_8.tif,1
106_1.tif,106_6.tif,1
103_7.tif,104_6.tif,0
110_4.tif,110_5.tif,1
104_1.tif,107_6.tif,0
104_4.tif,106_4.tif,0
108_7.tif,105_5.tif,0
108_1.tif,108_7.tif,1
101_1.tif,101_3.tif,1
101_1.tif,101_7.tif,1
101_1.tif,101_2.tif,1
110_1.tif,105_2.tif,0
105_4.tif,105_7.tif,1
103_4.tif,103_7.tif,1
108_6.tif,107_1.tif,0
102_7.tif,104_8.tif,0
101_2.tif,101_4.tif,1
103_6.tif,103_7.tif,1
103_7.tif,103_8.tif,1
101_8.tif,107_8.tif,0
104_2.tif,104_6.tif,1
106_5.tif,106_7.tif,1
102_2.tif,104_5.tif,0
109_8.tif,105_8.tif,0
110_1.tif,105_2.tif,0
101_2.tif,101_8.tif,1
101_5.tif,105_8.tif,0
104_5.tif,104_7.tif,1
109_6.tif,109_8.tif,1
105_3.tif,105_4.tif,1
105_5.tif,105_7.tif,1
104_1.tif,108_6.tif,0
109_8.tif,101_2.tif,0
102_4.tif,101_5.tif,0
101_7.tif,103_3.tif,0
102_5.tif,102_6.tif,1
104_4.tif,104_6.tif,1
109_1.tif,106_7.tif,0
104_3.tif,103_7.tif,0
110_5.tif,110_7.tif,1
110_1.tif,107_1.tif,0
103_5.tif,101_6.tif,0
105_6.tif,105_7.tif,1
106_8.tif,102_2.tif,0
101_4.tif,101_5.tif,1
104_3.tif,106_1.tif,0
102_4.tif,103_3.tif,0
110_5.tif,110_6.tif,1
101_5.tif,102_3.tif,0
109_1.tif,109_2.tif,1
105_3.tif,103_5.tif,0
110_1.tif,110_5.tif,1
103_8.tif,108_5.tif,0
104_2.tif,104_3.tif,1
108_2.tif,108_6.tif,1
102_6.tif,104_5.tif,0
